Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Generic Job Title,Professional/ Occupational Group,Payscale Minimum (£),Payscale Maximum (£),Number of Posts in FTE
Ministry of Justice,AGY - CICA,DIR - CICA,CFOG39,G7,Psychology.Team Manager,Operational Delivery,43038,80756,0.64865
Ministry of Justice,AGY - CICA,DIR - CICA,CFOG39,G7,RP.Registered Psychologist,Operational Delivery,43038,80756,0.21622
Ministry of Justice,AGY - CICA,DIR - CICA,CFOG6,AO,Operation Delivery.Admin Officer,Operational Delivery,18514,24519,1
Ministry of Justice,AGY - CICA,DIR - CICA,CFOG6,AO,Operation Delivery.Customer Service,Operational Delivery,18514,24519,1
Ministry of Justice,AGY - CICA,DIR - CICA,CFOG6,EO,Finance.Finance,Finance,20755,32600,1.81081
Ministry of Justice,AGY - CICA,DIR - CICA,CFOG6,SEO,Finance.Finance,Finance,30531,53768,1
Ministry of Justice,AGY - CICA,DIR - CICA,CFOG6,SEO,Finance.Team Manager,Finance,30531,53768,1
Ministry of Justice,AGY - CICA,DIR - CICA,CFOG8,G7,Finance.Information Technology,Finance,43038,80756,1
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,AA,Operation Delivery.Admin Assistant,Operational Delivery,15511,20195,11.05946
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,AO,Administration - General.,Operational Delivery,18514,24519,9
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,AO,F.GENERICPolicy Support,Policy,18514,24519,0.40541
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,AO,Operation Delivery.Admin Assistant,Operational Delivery,18514,24519,0.6
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,AO,Operation Delivery.Admin Officer,Operational Delivery,18514,24519,69.59462
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,AO,Operation Delivery.Business Support,Operational Delivery,18514,24519,1
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,AO,Operation Delivery.Case Progression Officer,Operational Delivery,18514,24519,1.92217
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,AO,Operation Delivery.Customer Service,Operational Delivery,18514,24519,6.0146
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,AO,Operation Delivery.Team Leader/Supervisor,Operational Delivery,18514,24519,0.95946
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,AO,Operational Research.Admin Officer,Operational Research,18514,24519,1
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,AO,Other.Admin Assistant,Operational Delivery,18514,24519,1
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,AO,Other.Admin Officer,Operational Delivery,18514,24519,2.81081
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,AO,Other.Customer Service,Operational Delivery,18514,24519,0.81081
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,EO,Administration - General.,Operational Delivery,20755,32600,3
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,EO,Finance.Executive Assistant,Finance,20755,32600,1
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,EO,Operation Delivery.Admin Officer,Operational Delivery,20755,32600,9.32432
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,EO,Operation Delivery.Business Manager,Operational Delivery,20755,32600,2
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,EO,Operation Delivery.Business Support,Operational Delivery,20755,32600,2
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,EO,Operation Delivery.Case Progression Manager,Operational Delivery,20755,32600,1
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,EO,Operation Delivery.Case Progression Officer,Operational Delivery,20755,32600,4.89189
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,EO,Operation Delivery.Customer Service,Operational Delivery,20755,32600,1
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,EO,Operation Delivery.Executive Assistant,Operational Delivery,20755,32600,14.40838
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,EO,Operation Delivery.Personal Assistant,Operational Delivery,20755,32600,1
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,EO,Operation Delivery.Team Leader/Supervisor,Operational Delivery,20755,32600,28.4046
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,EO,Other.Executive Assistant,Operational Delivery,20755,32600,1
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,EO,Other.Personal Assistant,Operational Delivery,20755,32600,1
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,G7,Law.Senior Manager,Operational Delivery,43038,80756,2
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,HEO,Administration - General.,Operational Delivery,23647,41485,0.7027
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,HEO,Communications and Marketing.Executive Assistant,Communications,23647,41485,0.89189
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,HEO,HoFS.Casework YP,Operational Delivery,23647,41485,1
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,HEO,Operation Delivery.Admin Officer,Operational Delivery,23647,41485,5
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,HEO,Operation Delivery.Business Manager,Operational Delivery,23647,41485,2
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,HEO,Operation Delivery.Case Progression Manager,Operational Delivery,23647,41485,2
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,HEO,Operation Delivery.Case Progression Officer,Operational Delivery,23647,41485,2
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,HEO,Operation Delivery.Customer Service,Operational Delivery,23647,41485,3
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,HEO,Operation Delivery.Executive Assistant,Operational Delivery,23647,41485,3.71892
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,HEO,Operation Delivery.Finance,Operational Delivery,23647,41485,1
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,HEO,Operation Delivery.Finance & Performance,Operational Delivery,23647,41485,1
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,HEO,Operation Delivery.Project,Project Delivery,23647,41485,1
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,HEO,Operation Delivery.Team Leader/Supervisor,Operational Delivery,23647,41485,4
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,HEO,Operation Delivery.Team Manager,Operational Delivery,23647,41485,18.89729
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,HEO,Operational Support.,Operational Delivery,23647,41485,1
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,HEO,Other.Executive Assistant,Operational Delivery,23647,41485,1
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,SEO,Law.Legal Adviser,Legal,30531,53768,1
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,SEO,Operation Delivery.Business Manager,Operational Delivery,30531,53768,1
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,SEO,Operation Delivery.Case Progression Manager,Operational Delivery,30531,53768,1
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,SEO,Operation Delivery.Senior Manager,Operational Delivery,30531,53768,3
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,SEO,Operation Delivery.Team Manager,Operational Delivery,30531,53768,2
Ministry of Justice,AGY - CICA,DIR - CICA,CICA1,SEO,Other.Governance,Operational Delivery,30531,53768,1
Ministry of Justice,AGY - CICA,DIR - CICA,JPSCG29,AO,Finance.Admin Officer,Finance,18514,24519,1
Ministry of Justice,AGY - CICA,DIR - CICA,JPSCG29,AO,Operation Delivery.Admin Officer,Operational Delivery,18514,24519,8.86486
Ministry of Justice,AGY - CICA,DIR - CICA,JPSCG29,AO,Operation Delivery.Case Progression Officer,Operational Delivery,18514,24519,0.54054
Ministry of Justice,AGY - CICA,DIR - CICA,JPSCG29,EO,Economics.Customer Service,Operational Delivery,20755,32600,1
Ministry of Justice,AGY - HMCTS,BAU Funded Change,HMCTS13,G7,AUM.Commissioning Commercial Contract,Operational Delivery,43038,80756,1
Ministry of Justice,AGY - HMCTS,BAU Funded Change,HMCTS13,G7,Operation Delivery.Governance,Operational Delivery,43038,80756,1
Ministry of Justice,AGY - HMCTS,BAU Funded Change,HMCTS13,G7,Operation Delivery.Team Manager,Operational Delivery,43038,80756,1
Ministry of Justice,AGY - HMCTS,BAU Funded Change,HMCTS13,G7,Planning.Business Manager,Operational Delivery,43038,80756,1
Ministry of Justice,AGY - HMCTS,BAU Funded Change,HMCTS13,SEO,Operational Manager.,Operational Delivery,30531,53768,1
Ministry of Justice,AGY - HMCTS,BAU Funded Change,HMCTS23,SEO,Operation Delivery.Admin Officer,Operational Delivery,30531,53768,1
Ministry of Justice,AGY - HMCTS,BAU Funded Change,HMCTS65,AO,Operation Delivery.Admin Officer,Operational Delivery,18514,24519,1
Ministry of Justice,AGY - HMCTS,BAU Funded Change,HMCTS65,EO,Operation Delivery.Business Support,Operational Delivery,20755,32600,1
Ministry of Justice,AGY - HMCTS,BAU Funded Change,HMCTS65,HEO,Operation Delivery.Business Manager,Operational Delivery,23647,41485,1
Ministry of Justice,AGY - HMCTS,BAU Funded Change,HMCTS65,SEO,Operation Delivery.Team Manager,Operational Delivery,30531,53768,1
Ministry of Justice,AGY - HMCTS,BAU Funded Change,HMCTS65,SEO,Programme and Project Management.Project,Operational Delivery,30531,53768,1
Ministry of Justice,AGY - HMCTS,Central County Court,HMCTS40,AA,Administration - General.,Operational Delivery,15511,20195,1
Ministry of Justice,AGY - HMCTS,Central County Court,HMCTS40,AA,Operation Delivery.Admin Assistant,Operational Delivery,15511,20195,6.04416
Ministry of Justice,AGY - HMCTS,Central County Court,HMCTS40,AA,Operation Delivery.Admin Officer,Operational Delivery,15511,20195,0.8
Ministry of Justice,AGY - HMCTS,Central County Court,HMCTS40,AA,Operation Delivery.Court Usher,Operational Delivery,15511,20195,0.58333
Ministry of Justice,AGY - HMCTS,Central County Court,HMCTS40,AA,Operation Delivery.Usher,Operational Delivery,15511,20195,1
Ministry of Justice,AGY - HMCTS,Central County Court,HMCTS40,AO,Administration - General.,Operational Delivery,18514,24519,2
Ministry of Justice,AGY - HMCTS,Central County Court,HMCTS40,AO,Information Technology.Bailiff Manager,Operational Delivery,18514,24519,1
Ministry of Justice,AGY - HMCTS,Central County Court,HMCTS40,AO,Operation Delivery.Admin Officer,Operational Delivery,18514,24519,25.93777
Ministry of Justice,AGY - HMCTS,Central County Court,HMCTS40,AO,Operation Delivery.Court Admin,Operational Delivery,18514,24519,2.72222
Ministry of Justice,AGY - HMCTS,Central County Court,HMCTS40,AO,Operation Delivery.Court Officer,Operational Delivery,18514,24519,2
Ministry of Justice,AGY - HMCTS,Central County Court,HMCTS40,AO,Other.Admin Officer,Operational Delivery,18514,24519,2
Ministry of Justice,AGY - HMCTS,Central County Court,HMCTS40,EO,Operation Delivery.Court Admin,Operational Delivery,20755,32600,0.6
Ministry of Justice,AGY - HMCTS,Central County Court,HMCTS40,EO,Operation Delivery.Court Officer,Operational Delivery,20755,32600,1
Ministry of Justice,AGY - HMCTS,Central County Court,HMCTS40,EO,Operation Delivery.Team Leader/Supervisor,Operational Delivery,20755,32600,5.09083
Ministry of Justice,AGY - HMCTS,Central County Court,HMCTS40,EO,Operation Delivery.Team Manager,Operational Delivery,20755,32600,1
Ministry of Justice,AGY - HMCTS,Central County Court,HMCTS40,HEO,Operation Delivery.Team Manager,Operational Delivery,23647,41485,1
Ministry of Justice,AGY - HMCTS,Central County Court,HMCTS40,SEO,Operation Delivery.Court Manager,Operational Delivery,30531,53768,1
Ministry of Justice,AGY - HMCTS,Centrally Managed Budgets,HMCTS31,AO,Operation Delivery.Admin Officer,Finance,18514,24519,0.6
Ministry of Justice,AGY - HMCTS,Centrally Managed Budgets,HMCTS31,G7,Law.Team Manager,Finance,43038,80756,1
Ministry of Justice,AGY - HMCTS,Change Portfolio,HMCTS34,EO,Finance.Admin Assistant,Operational Delivery,20755,32600,0.63429
Ministry of Justice,AGY - HMCTS,Change Portfolio,HMCTS63,SEO,Programme and Project Management.Project,Project Delivery,30531,53768,1
Ministry of Justice,AGY - HMCTS,Closed,HMCTS31,AO,Operation Delivery.Admin Officer,Operational Delivery,18514,24519,1
Ministry of Justice,AGY - HMCTS,Closed,HMCTS36,AO,Operation Delivery.Admin Officer,Operational Delivery,18514,24519,1.89189
Ministry of Justice,AGY - HMCTS,Closed,HMCTS40,AO,Administration - General.,NA,18514,24519,1
Ministry of Justice,AGY - HMCTS,Closed,HMCTS40,EO,Other.Case Progression Manager,NA,20755,32600,1
Ministry of Justice,AGY - HMCTS,Closed,HMCTS40,G7,Law.Lawyer,Legal,43038,80756,1
Ministry of Justice,AGY - HMCTS,Closed,HMCTS40,HEO,Law.Lawyer,Legal,23647,41485,19
Ministry of Justice,AGY - HMCTS,Closed,HMCTS40,HEO,Operation Delivery.Admin Officer,Operational Delivery,23647,41485,4
Ministry of Justice,AGY - HMCTS,Closed,HMCTS40,HEO,Operation Delivery.Lawyer,Legal,23647,41485,1
Ministry of Justice,AGY - HMCTS,Closed,HMCTS40,HEO,Operational Support.,Operational Delivery,23647,41485,1
Ministry of Justice,AGY - HMCTS,Closed,HMCTS67,HEO,Other.Business Support,Planning,23647,41485,1
Ministry of Justice,AGY - HMCTS,Closed,HMCTS74,G7,Law.Legal Adviser,Legal,43038,80756,1
Ministry of Justice,AGY - HMCTS,Courts & Tribunals Service Centres,HMCTS54,AO,Operation Delivery.Admin Officer,Operational Delivery,18514,24519,0.59459
Ministry of Justice,AGY - HMCTS,Courts & Tribunals Service Centres,HMCTS58,AO,Administration - General.,NA,18514,24519,5.81081
Ministry of Justice,AGY - HMCTS,Courts & Tribunals Service Centres,HMCTS58,AO,HQAS2.NOS APVU Contact Centre Agent 1,NA,18514,24519,1
Ministry of Justice,AGY - HMCTS,Courts & Tribunals Service Centres,HMCTS58,AO,HQAS2.NOS Casework Admin Support,NA,18514,24519,0.81081
Ministry of Justice,AGY - HMCTS,Courts & Tribunals Service Centres,HMCTS58,AO,Operation Delivery.Admin Officer,Operational Delivery,18514,24519,7.60811
Ministry of Justice,AGY - HMCTS,Courts & Tribunals Service Centres,HMCTS58,AO,Operation Delivery.Business Support,Operational Delivery,18514,24519,1
Ministry of Justice,AGY - HMCTS,Courts & Tribunals Service Centres,HMCTS58,AO,Operation Delivery.Case Progression Manager,Operational Delivery,18514,24519,1
Ministry of Justice,AGY - HMCTS,Courts & Tribunals Service Centres,HMCTS58,AO,Operation Delivery.Case Progression Officer,Operational Delivery,18514,24519,31.20271
Ministry of Justice,AGY - HMCTS,Courts & Tribunals Service Centres,HMCTS58,AO,Operation Delivery.Court Admin,Operational Delivery,18514,24519,1
Ministry of Justice,AGY - HMCTS,Courts & Tribunals Service Centres,HMCTS58,AO,Operational Support.,Operational Delivery,18514,24519,6.43243
Ministry of Justice,AGY - HMCTS,Courts & Tribunals Service Centres,HMCTS58,EO,Knowledge and Information Management.Admin Assistant,Knowledge and Information Management,20755,32600,1
Ministry of Justice,AGY - HMCTS,Courts & Tribunals Service Centres,HMCTS58,EO,Knowledge and Information Management.Business Support,Knowledge and Information Management,20755,32600,1.74324
Ministry of Justice,AGY - HMCTS,Courts & Tribunals Service Centres,HMCTS58,EO,Operation Delivery.Admin Officer,Operational Delivery,20755,32600,2
Ministry of Justice,AGY - HMCTS,Courts & Tribunals Service Centres,HMCTS58,EO,Operation Delivery.Business Manager,Operational Delivery,20755,32600,1
Ministry of Justice,AGY - HMCTS,Courts & Tribunals Service Centres,HMCTS58,EO,Operation Delivery.Business Support,Operational Delivery,20755,32600,2
Ministry of Justice,AGY - HMCTS,Courts & Tribunals Service Centres,HMCTS58,EO,Operation Delivery.Case Progression Manager,Operational Delivery,20755,32600,4
Ministry of Justice,AGY - HMCTS,Courts & Tribunals Service Centres,HMCTS58,EO,Operation Delivery.Learning & Development,Operational Delivery,20755,32600,3
Ministry of Justice,AGY - HMCTS,Courts & Tribunals Service Centres,HMCTS58,EO,Operation Delivery.Strategic & Planning,Operational Delivery,20755,32600,2
Ministry of Justice,AGY - HMCTS,Courts & Tribunals Service Centres,HMCTS58,EO,Operation Delivery.Team Leader/Supervisor,Operational Delivery,20755,32600,1
Ministry of Justice,AGY - HMCTS,Courts & Tribunals Service Centres,HMCTS58,EO,Operational Support.,Operational Delivery,20755,32600,3
Ministry of Justice,AGY - HMCTS,Courts & Tribunals Service Centres,HMCTS58,EO,Other.Admin Officer,NA,20755,32600,1
Ministry of Justice,AGY - HMCTS,Courts & Tribunals Service Centres,HMCTS58,SEO,Operation Delivery.Strategic & Planning,Operational Delivery,30531,53768,2
Ministry of Justice,AGY - HMCTS,Courts & Tribunals Service Centres,HMCTS74,AO,Administration - General.,NA,18514,24519,3
Ministry of Justice,AGY - HMCTS,Courts & Tribunals Service Centres,HMCTS74,AO,Operation Delivery.Admin Officer,Operational Delivery,18514,24519,2.51351
Ministry of Justice,AGY - HMCTS,Courts & Tribunals Service Centres,HMCTS74,AO,Operation Delivery.Case Progression Officer,Operational Delivery,18514,24519,7.60811
Ministry of Justice,AGY - HMCTS,Courts & Tribunals Service Centres,HMCTS74,AO,Operational Support.,Operational Delivery,18514,24519,10.62162
Ministry of Justice,AGY - HMCTS,Courts & Tribunals Service Centres,HMCTS74,AO,Other.Admin Officer,NA,18514,24519,1
Ministry of Justice,AGY - HMCTS,Courts & Tribunals Service Centres,HMCTS74,EO,Operation Delivery.Admin Officer,Operational Delivery,20755,32600,1.86486
Ministry of Justice,AGY - HMCTS,Courts & Tribunals Service Centres,HMCTS74,EO,Operation Delivery.Customer Service,Operational Delivery,20755,32600,1
Ministry of Justice,AGY - HMCTS,Courts & Tribunals Service Centres,HMCTS74,EO,Operation Delivery.Learning & Development,Operational Delivery,20755,32600,2
Ministry of Justice,AGY - HMCTS,Courts & Tribunals Service Centres,HMCTS74,EO,Operation Delivery.Team Leader/Supervisor,Operational Delivery,20755,32600,1
Ministry of Justice,AGY - HMCTS,Courts & Tribunals Service Centres,HMCTS9,G7,Operation Delivery.Head of Operations,Operational Delivery,43038,80756,2
Ministry of Justice,AGY - HMCTS,Criminal Justice,HMCTS13,EO,Operation Delivery.Admin Officer,Project Delivery,20755,32600,0.91892
Ministry of Justice,AGY - HMCTS,Criminal Justice,HMCTS13,G7,Programme and Project Management.Business Manager,Project Delivery,43038,80756,1
Ministry of Justice,AGY - HMCTS,Criminal Justice,HMCTS14,EO,Operational Support.,Project Delivery,20755,32600,1
Ministry of Justice,AGY - HMCTS,Criminal Justice,HMCTS14,G7,Human Resources.Business Manager,Project Delivery,43038,80756,1
Ministry of Justice,AGY - HMCTS,Criminal Justice,HMCTS14,G7,Programme and Project Management.Business Manager,Project Delivery,43038,80756,2
Ministry of Justice,AGY - HMCTS,Criminal Justice,HMCTS14,G7,Programme and Project Management.Project,Project Delivery,43038,80756,1
Ministry of Justice,AGY - HMCTS,Criminal Justice,HMCTS14,G7,Programme and Project Management.Senior Manager,Project Delivery,43038,80756,1
Ministry of Justice,AGY - HMCTS,Criminal Justice,HMCTS14,SEO,Human Resources.Human Resources,Project Delivery,30531,53768,1
Ministry of Justice,AGY - HMCTS,Criminal Justice,HMCTS14,SEO,Information Technology.Information Technology,Project Delivery,30531,53768,1
Ministry of Justice,AGY - HMCTS,Criminal Justice,HMCTS14,SEO,Programme and Project Management.Project,Project Delivery,30531,53768,2
Ministry of Justice,AGY - HMCTS,Criminal Justice,HMCTS19,G7,Law.Legal Adviser,Legal,43038,80756,1
Ministry of Justice,AGY - HMCTS,Criminal Justice,HMCTS19,G7,Operation Delivery.Head of Section,Project Delivery,43038,80756,1
Ministry of Justice,AGY - HMCTS,Criminal Justice,HMCTS19,G7,Programme and Project Management.Business Manager,Project Delivery,43038,80756,1
Ministry of Justice,AGY - HMCTS,Criminal Justice,HMCTS19,SEO,Programme and Project Management.Change Management,Project Delivery,30531,53768,1
Ministry of Justice,AGY - HMCTS,Criminal Justice,HMCTS24,SEO,Programme and Project Management.Team Leader/Supervisor,Project Delivery,30531,53768,1
Ministry of Justice,AGY - HMCTS,Criminal Justice,HMCTS29,HEO,Human Resources.Learning & Development,Project Delivery,23647,41485,0.81081
Ministry of Justice,AGY - HMCTS,Criminal Justice,HMCTS34,HEO,Finance.Business Support,Project Delivery,23647,41485,1
Ministry of Justice,AGY - HMCTS,Criminal Justice,HMCTS34,HEO,Operation Delivery.Business Support,Project Delivery,23647,41485,1
Ministry of Justice,AGY - HMCTS,Criminal Justice,HMCTS34,SEO,Other.Business Support,Project Delivery,30531,53768,1
Ministry of Justice,AGY - HMCTS,Criminal Justice,HMCTS47,G7,Operation Delivery.Admin Officer,Project Delivery,43038,80756,1
Ministry of Justice,AGY - HMCTS,Criminal Justice,HMCTS47,G7,Operational Manager.,Project Delivery,43038,80756,1
Ministry of Justice,AGY - HMCTS,Criminal Justice,HMCTS47,HEO,Operation Delivery.Performance,Project Delivery,23647,41485,1
Ministry of Justice,AGY - HMCTS,Criminal Justice,HMCTS56,AO,Operation Delivery.Court Admin,Project Delivery,18514,24519,1
Ministry of Justice,AGY - HMCTS,Criminal Justice,HMCTS56,AO,Procurement and Contract Management.Project,Project Delivery,18514,24519,1
Ministry of Justice,AGY - HMCTS,Criminal Justice,HMCTS56,AO,Programme and Project Management.Project,Project Delivery,18514,24519,1
Ministry of Justice,AGY - HMCTS,Criminal Justice,HMCTS56,EO,Operation Delivery.Business Support,Project Delivery,20755,32600,1
Ministry of Justice,AGY - HMCTS,Criminal Justice,HMCTS56,HEO,Operational Support.,Project Delivery,23647,41485,2
Ministry of Justice,AGY - HMCTS,Criminal Justice,HMCTS56,HEO,Programme and Project Management.Business Support,Project Delivery,23647,41485,2
Ministry of Justice,AGY - HMCTS,Criminal Justice,HMCTS56,SEO,HQAS5.PSP Programme Office Support Manager,Project Delivery,30531,53768,1
Ministry of Justice,AGY - HMCTS,Criminal Justice,HMCTS56,SEO,Human Resources.Business Manager,Project Delivery,30531,53768,1
Ministry of Justice,AGY - HMCTS,Criminal Justice,HMCTS56,SEO,Operational Manager.,Project Delivery,30531,53768,1
Ministry of Justice,AGY - HMCTS,Criminal Justice,HMCTS56,SEO,Other.Business Support,Project Delivery,30531,53768,0.7027
Ministry of Justice,AGY - HMCTS,Criminal Justice,HMCTS56,SEO,Programme and Project Management.Business Manager,Project Delivery,30531,53768,2
Ministry of Justice,AGY - HMCTS,Criminal Justice,HMCTS56,SEO,Programme and Project Management.Business Support,Project Delivery,30531,53768,2
Ministry of Justice,AGY - HMCTS,Criminal Justice,HMCTS56,SEO,Programme and Project Management.Change Management,Project Delivery,30531,53768,2
Ministry of Justice,AGY - HMCTS,Criminal Justice,HMCTS56,SEO,Programme and Project Management.Project,Project Delivery,30531,53768,1
Ministry of Justice,AGY - HMCTS,Criminal Justice,HMCTS59,G7,Operation Delivery.Finance & Performance,Project Delivery,43038,80756,1
Ministry of Justice,AGY - HMCTS,Criminal Justice,HMCTS70,G7,Law.Deputy Justices' Clerk,Project Delivery,43038,80756,1
Ministry of Justice,AGY - HMCTS,Criminal Justice,HMCTS70,G7,Operation Delivery.Head of Section,Project Delivery,43038,80756,1
Ministry of Justice,AGY - HMCTS,Criminal Justice,HMCTS70,SEO,Operation Delivery.Court Manager,Project Delivery,30531,53768,1
Ministry of Justice,AGY - HMCTS,"CT Avon, Gloucester,Somerset Cluster",HMCTS36,AA,General.,Operational Delivery,15511,20195,1
Ministry of Justice,AGY - HMCTS,"CT Avon, Gloucester,Somerset Cluster",HMCTS36,AA,Human Resources.Court Usher,Operational Delivery,15511,20195,1
Ministry of Justice,AGY - HMCTS,"CT Avon, Gloucester,Somerset Cluster",HMCTS36,AA,Law.Court Usher,Operational Delivery,15511,20195,1
Ministry of Justice,AGY - HMCTS,"CT Avon, Gloucester,Somerset Cluster",HMCTS36,AA,Operation Delivery.Admin Assistant,Operational Delivery,15511,20195,5.10811
Ministry of Justice,AGY - HMCTS,"CT Avon, Gloucester,Somerset Cluster",HMCTS36,AA,Operation Delivery.Admin Officer,Operational Delivery,15511,20195,3
Ministry of Justice,AGY - HMCTS,"CT Avon, Gloucester,Somerset Cluster",HMCTS36,AA,Operation Delivery.Caretaker,Operational Delivery,15511,20195,1
Ministry of Justice,AGY - HMCTS,"CT Avon, Gloucester,Somerset Cluster",HMCTS36,AA,Operation Delivery.Court Usher,Operational Delivery,15511,20195,13.94595
Ministry of Justice,AGY - HMCTS,"CT Avon, Gloucester,Somerset Cluster",HMCTS36,AA,Operation Delivery.Team Leader/Supervisor,Operational Delivery,15511,20195,0.78838
Ministry of Justice,AGY - HMCTS,"CT Avon, Gloucester,Somerset Cluster",HMCTS36,AA,Operation Delivery.Usher,Operational Delivery,15511,20195,21.05946
Ministry of Justice,AGY - HMCTS,"CT Avon, Gloucester,Somerset Cluster",HMCTS36,AA,Operational Support.,Operational Delivery,15511,20195,2
Ministry of Justice,AGY - HMCTS,"CT Avon, Gloucester,Somerset Cluster",HMCTS36,AA,Other.Admin Assistant,Operational Delivery,15511,20195,1
